question_id,epoch,prob_correct,is_correct
high15301.txt_q1,4.0,0.9999912977218628,1
high23334.txt_q1,4.0,0.999438464641571,1
high9256.txt_q0,4.0,0.9997126460075378,1
high23327.txt_q2,4.0,0.9981122016906738,1
high22510.txt_q2,4.0,0.9999854564666748,1
high12707.txt_q0,4.0,0.9999405145645142,1
high1339.txt_q2,4.0,0.9984689354896545,1
high9676.txt_q0,4.0,0.4297944903373718,0
high3421.txt_q3,4.0,0.9560714364051819,1
high13476.txt_q0,4.0,0.9915341734886169,1
high11486.txt_q0,4.0,0.9939174056053162,1
high21900.txt_q2,4.0,0.9999631643295288,1
high4224.txt_q1,4.0,0.9989663362503052,1
high706.txt_q0,4.0,0.9959010481834412,1
middle2367.txt_q0,4.0,0.9999252557754517,1
high15724.txt_q0,4.0,0.9998594522476196,1
middle5865.txt_q0,4.0,0.9091418981552124,1
high20648.txt_q3,4.0,0.9905417561531067,1
high6998.txt_q1,4.0,0.9997581839561462,1
high15156.txt_q1,4.0,0.999725878238678,1
middle5982.txt_q2,4.0,0.9990646243095398,1
high17896.txt_q0,4.0,0.978807806968689,1
high2916.txt_q1,4.0,0.9999995231628418,1
high8815.txt_q4,4.0,0.740806519985199,1
middle7546.txt_q1,4.0,0.9626749753952026,1
high3621.txt_q1,4.0,0.9999136924743652,1
high16654.txt_q2,4.0,0.9990056157112122,1
middle2911.txt_q1,4.0,0.9999967813491821,1
high23349.txt_q0,4.0,0.9959447979927063,1
middle3643.txt_q3,4.0,0.9990652203559875,1
high9482.txt_q1,4.0,0.9999992847442627,1
middle1574.txt_q2,4.0,0.9999923706054688,1
high17637.txt_q2,4.0,0.9987995624542236,1
high276.txt_q1,4.0,0.9950135350227356,1
middle708.txt_q2,4.0,0.9986706972122192,1
high354.txt_q2,4.0,0.999992847442627,1
high17480.txt_q0,4.0,0.9990761280059814,1
middle5716.txt_q1,4.0,1.0,1
high22942.txt_q0,4.0,0.9998106360435486,1
high4876.txt_q0,4.0,0.9999464750289917,1
high15504.txt_q3,4.0,0.9999998807907104,1
middle1659.txt_q3,4.0,1.0,1
middle5062.txt_q0,4.0,0.9999985694885254,1
high2991.txt_q0,4.0,0.9627574682235718,1
middle7413.txt_q1,4.0,0.9948770403862,1
high22212.txt_q2,4.0,0.9945079684257507,1
high8891.txt_q1,4.0,1.0,1
high21443.txt_q1,4.0,0.9999825954437256,1
high5948.txt_q0,4.0,0.5962809324264526,1
high6935.txt_q2,4.0,0.996623158454895,1
middle1580.txt_q2,4.0,0.9999915361404419,1
high16401.txt_q0,4.0,0.9999774694442749,1
high4214.txt_q3,4.0,1.0,1
high20041.txt_q3,4.0,0.9979385733604431,1
high15298.txt_q0,4.0,0.9999943971633911,1
high16733.txt_q0,4.0,0.9323483109474182,1
high18946.txt_q1,4.0,1.0,1
high16574.txt_q2,4.0,0.9995236396789551,1
high8077.txt_q1,4.0,0.43295541405677795,1
high9531.txt_q3,4.0,0.9992870688438416,1
high11650.txt_q1,4.0,0.9999868869781494,1
middle5829.txt_q1,4.0,0.9999144077301025,1
high5772.txt_q3,4.0,0.9557302594184875,1
middle6606.txt_q1,4.0,0.9976252913475037,1
middle5003.txt_q4,4.0,0.9999997615814209,1
high6161.txt_q2,4.0,0.9812435507774353,1
high17527.txt_q3,4.0,0.9998154044151306,1
high10679.txt_q2,4.0,0.9999490976333618,1
high2728.txt_q1,4.0,0.34872758388519287,1
high8148.txt_q1,4.0,0.9961264729499817,1
high521.txt_q0,4.0,0.9999475479125977,1
middle1509.txt_q0,4.0,0.9999994039535522,1
high23685.txt_q2,4.0,0.993783712387085,1
middle2131.txt_q3,4.0,0.9999898672103882,1
high637.txt_q0,4.0,0.9452749490737915,1
high20448.txt_q0,4.0,0.973042368888855,1
high19410.txt_q3,4.0,0.9990216493606567,1
high23525.txt_q1,4.0,1.0,1
middle5475.txt_q1,4.0,0.99996018409729,1
high10423.txt_q1,4.0,0.9835034608840942,1
high14564.txt_q0,4.0,0.9999995231628418,1
middle8015.txt_q0,4.0,0.9999982118606567,1
middle2720.txt_q3,4.0,0.9990233182907104,1
middle7931.txt_q3,4.0,1.0,1
high4874.txt_q1,4.0,0.9994138479232788,1
high21751.txt_q2,4.0,0.998484194278717,1
high15471.txt_q0,4.0,0.9996626377105713,1
high7870.txt_q0,4.0,0.9999685287475586,1
high1264.txt_q2,4.0,0.9947463870048523,1
high9019.txt_q1,4.0,0.9971656203269958,1
high22759.txt_q1,4.0,0.9999788999557495,1
high17600.txt_q0,4.0,0.32750651240348816,0
high18549.txt_q2,4.0,0.9992281198501587,1
middle6693.txt_q1,4.0,0.3227389454841614,0
middle2086.txt_q1,4.0,0.994347870349884,1
